id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev,far_1,far_2,far_3
229,424,1.33,1.29,0.27,3366.44,4359.0,1514.61,73.84,63.03,17.19,1.16,1.29,1.48
232,457,1.03,1.03,0.26,1274.97,1100.4,476.97,51.79,54.79,19.61,0.8,1.03,1.15
235,587,0.7,0.65,0.24,2041.24,1781.75,1093.75,64.62,71.72,16.83,0.57,0.65,0.76
236,621,1.87,1.79,0.68,1203.5,568.5,1634.87,40.44,41.33,17.9,1.43,1.79,2.36
237,623,0.86,0.85,0.31,1891.08,1534.0,960.48,62.77,65.55,14.88,0.68,0.85,0.97
238,553,0.9,0.83,0.33,6055.44,1388.5,23803.81,61.95,63.4,18.75,0.65,0.83,1.14
239,572,0.81,0.82,0.25,1699.9,1529.5,889.44,67.49,67.39,8.65,0.7,0.82,0.94
240,578,0.82,0.79,0.28,1853.2,1650.0,1043.4,58.54,62.77,19.87,0.6,0.78,1.02
241,594,1.04,0.93,0.43,1566.72,1073.75,1084.87,62.2,66.72,15.48,0.69,0.93,1.36
242,599,0.83,0.79,0.48,1457.0,972.16,1295.65,66.69,72.65,15.22,0.54,0.79,1.01
243,609,0.79,0.69,0.35,1592.64,1250.29,830.68,59.71,65.61,14.36,0.57,0.68,0.89
244,612,0.93,0.83,0.33,1304.71,1062.0,637.06,59.39,65.75,15.78,0.76,0.83,0.92
245,615,1.04,0.89,0.35,1430.7,1113.5,1255.24,57.35,59.13,14.56,0.82,0.89,1.28
246,619,1.11,1.07,0.34,1117.26,1063.5,515.52,53.36,55.42,14.26,0.94,1.07,1.28
247,628,0.78,0.76,0.25,2091.55,1568.66,1393.61,59.1,64.23,18.39,0.68,0.76,0.94
248,629,1.02,0.87,0.45,1531.59,1666.0,779.02,54.71,57.27,20.07,0.66,0.87,1.38
249,630,1.23,1.23,0.51,1209.48,749.84,1157.87,53.49,55.13,16.58,0.82,1.23,1.53
250,634,0.95,0.81,0.36,1383.98,1473.25,472.24,65.31,67.4,11.41,0.68,0.82,1.05
251,515,0.82,0.79,0.35,1883.54,1859.67,847.04,63.51,65.93,15.93,0.57,0.79,1.04
252,532,0.94,0.8,0.36,1407.5,1229.62,732.31,62.42,65.0,13.79,0.66,0.8,1.23
253,535,0.85,0.89,0.37,1851.57,1473.0,1069.21,65.45,65.47,14.58,0.57,0.89,1.07
254,562,0.78,0.72,0.31,1704.49,1447.5,829.86,66.09,67.13,9.55,0.66,0.72,0.84
256,476,1.18,0.92,0.89,2978.47,1494.75,6095.62,57.06,63.96,20.51,0.75,0.92,1.15
257,598,1.72,1.89,0.64,718.36,521.18,449.82,50.44,42.53,29.98,1.3,1.89,2.26
258,524,0.86,0.83,0.21,1915.4,1245.0,1894.64,53.45,58.55,21.54,0.74,0.83,1.0
259,539,1.12,1.2,0.28,1562.3,997.33,1418.34,59.09,59.93,15.05,0.87,1.2,1.37
