id,ML,street_name,street_number,zone,block,total_rooms,bedrooms,first_floor_area,land_area,living_area,neighborhood,num_stories,FAR,LADU,OPEN,lot,lat
10696,103-29,Magazine St,60,C,676,8,4,1290,6121,2685,Cambridgeport,2.5,0.44,6121.0,78.93,-71.1075856641,42.3621225741
4758,103-3,Corporal Mcternan St,24,C,692,None,None,2806,5069,8418,Cambridgeport,3.0,1.66,422.42,44.64,-71.1083154127,42.3612191851
4425,103-31,Perry St,18,C,676,14,6,1580,4746,4004,Cambridgeport,3.0,0.84,1582.0,66.71,-71.1070967987,42.3621704974
5375,103-32,Perry St,16,C,676,31,13,6055,9999,6055,Cambridgeport,0.0,0.61,1999.8,39.44,-71.1069808994,42.3620843311
8988,103-33,Perry St,10,C,676,9,4,897,4813,2255,Cambridgeport,2.75,0.47,4813.0,81.36,-71.1066765937,42.3619194799
4486,103-34,Perry St,8,C,676,8,4,1534,5324,1851,Cambridgeport,2.0,0.35,5324.0,71.19,-71.1065403585,42.3618379583
2616,103-35,Perry St,6,C,676,8,4,783,1641,1571,Cambridgeport,2.25,0.96,1641.0,52.29,-71.1063882709,42.3617435487
927,103-36,Perry St,4,C,676,11,5,1031,3399,2407,Cambridgeport,2.25,0.71,3399.0,69.67,-71.1063146386,42.3616348264
43,103-4,Corporal Mcternan St,22,C,692,20,9,1516,4938,4768,Cambridgeport,0.0,0.97,1646.0,69.3,-71.1082042773,42.361139041
11178,103-41,Lawrence St,11,C,676,12,5,962,2384,2084,Cambridgeport,2.25,0.87,794.67,59.65,-71.1068456325,42.3613685569
7716,103-44,Lawrence St,23,C,676,24,10,1678,5019,4927,Cambridgeport,0.0,0.98,1254.75,66.57,-71.1072042285,42.3616295215
2889,103-48,Perry St,23,C,660,9,4,988,3500,2230,Cambridgeport,2.75,0.64,3500.0,71.77,-71.1071197971,42.3624177319
9440,103-49,Magazine St,50,C,660,13,6,1102,3500,2285,Cambridgeport,2.25,0.65,1166.67,68.51,-71.1070684193,42.3625083486
6736,103-50,Magazine St,48,C,660,20,10,1231,3950,3246,Cambridgeport,0.0,0.82,790.0,68.84,-71.1070136747,42.3626556998
1244,103-52,Cottage St,24,C,660,8,3,888,4220,1816,Cambridgeport,2.25,0.43,4220.0,78.96,-71.1066334331,42.3629166546
11406,103-55,Cottage St,14-1/2,C,660,23,11,3014,5738,6250,Cambridgeport,0.0,1.09,1434.5,47.47,-71.1062363463,42.3624497085
3699,103-56,Cottage St,12,C,660,14,8,1333,5999,3026,Cambridgeport,2.5,0.5,1999.67,77.78,-71.106040539,42.3625766312
1635,103-57,Cottage St,10,C,660,13,5,1037,5039,2711,Cambridgeport,3.0,0.54,1679.67,79.42,-71.1058237328,42.3624269556
12323,103-58,Cottage St,8,C,660,6,3,648,2199,1296,Cambridgeport,2.5,0.59,2199.0,70.53,-71.105764266,42.3624018408
12451,103-59,Cottage Ct,1,C,660,6,2,605,1000,830,Cambridgeport,1.5,0.83,1000.0,39.5,-71.1058494755,42.3622203027
12824,103-60,Cottage Ct,5,C,660,5,2,667,2024,856,Cambridgeport,1.5,0.42,2024.0,67.05,-71.1059196731,42.3621727965
2903,103-61,Cottage Ct,6,C,660,6,3,612,1706,1224,Cambridgeport,2.0,0.72,1706.0,64.13,-71.1058871156,42.3620982699
516,103-62,Cottage Ct,2,C,660,4,2,435,956,623,Cambridgeport,1.5,0.65,956.0,54.5,-71.1057695456,42.3621840551
3734,103-63,Cottage St,6,C,660,10,4,726,1361,1634,Cambridgeport,2.0,1.2,1361.0,46.66,-71.1055925166,42.3623086619
4275,103-64,Pearl St,107,C,660,5,2,795,2580,1379,Cambridgeport,2.25,0.53,2580.0,69.19,-71.105513495,42.3621824326
6007,103-65,Pearl St,109,C,660,9,4,912,1976,1779,Cambridgeport,2.0,0.9,988.0,53.85,-71.1055828617,42.3621177219
5961,103-66,Pearl St,115,C,660,6,3,673,1840,982,Cambridgeport,1.25,0.53,1840.0,63.42,-71.1057094397,42.3619861216
9485,103-67,Pearl St,119,C,660,None,None,1584,5913,4752,Cambridgeport,2.0,0.8,1182.6,73.21,-71.1058494729,42.3619012192
1385,103-70,Perry St,11,C,660,12,5,1230,6403,3023,Cambridgeport,2.75,0.47,3201.5,80.79,-71.1065206982,42.3620472565
11922,103-72,Perry St,17,C,660,15,8,4409,6770,4409,Cambridgeport,0.0,0.65,2256.67,34.87,-71.1068093206,42.3622182323
12200,103-74,Magazine St,42,C,660,15,8,1528,4493,3412,Cambridgeport,2.5,0.76,1497.67,65.99,-71.1068464834,42.362801236
3460,103-75,Magazine St,44,C,660,17,7,1454,3512,4362,Cambridgeport,0.0,1.24,1170.67,58.6,-71.1069834568,42.3626795478
10782,103-78,Magazine St,66,C,676,15,7,4276,4500,4276,Cambridgeport,0.0,0.95,2250.0,4.98,-71.1077519407,42.3619945748
4882,103-79,Lawrence St,35,C,676,7,3,981,1560,2435,Cambridgeport,2.25,1.56,1560.0,37.12,-71.1076150975,42.3618354756
11781,103-84,Lawrence St,8-B,C,686,14,7,1009,1734,2514,Cambridgeport,2.5,1.45,578.0,41.81,-71.1068900707,42.361150588
7353,103-85,Pearl St,153,C,686,14,7,1315,2836,3141,Cambridgeport,2.5,1.11,945.33,53.63,-71.1067877422,42.3610332782
3063,103-86,Perry St,5,C,660,15,6,1300,2784,3984,Cambridgeport,3.0,1.43,928.0,53.3,-71.1062556598,42.3618623595
2834,103-87,Lawrence St,17,C,676,14,4,1349,4318,3211,Cambridgeport,2.5,0.74,2159.0,68.76,-71.1070586481,42.3614942979
2532,103-88,Lawrence St,15,C,676,14,6,1195,3212,2209,Cambridgeport,2.25,0.69,1070.67,62.8,-71.1069760878,42.3614449592
956,103-89,Magazine St,80,C,692,12,5,1322,2845,3243,Cambridgeport,3.0,1.14,948.33,53.53,-71.1086283497,42.3611806683
12611,103-90,Magazine St,82,C,692,7,3,972,4653,1944,Cambridgeport,2.0,0.42,4653.0,79.11,-71.1085249994,42.3610223719
4559,103-93,Pearl St,139,C,676,27,11,2436,4653,4291,Cambridgeport,0.0,0.92,775.5,47.65,-71.1065102836,42.3615797006
3291,103-94,Lawrence St,9,C,676,6,3,609,1706,1182,Cambridgeport,2.0,0.69,1706.0,64.3,-71.1067562723,42.3613527701
