9858,217-14,St Johns Rd,8,A-2,288,8,2,1513,60802,2544,West Cambridge,2.0,MULTIPLE-RES,0.04,60802.0,97.51,-71.1258303457,42.3775033376
4122,217-18,St Johns Rd,7,A-2,280,12,0,183990,191486,188729,West Cambridge,0.0,CONDO-BLDG,0.99,15957.17,3.91,-71.1254610541,42.3773791949
10689,218-60,Craigie St,24,A-1,265,9,5,545,12407,3872,West Cambridge,2.5,MULTIPLE-RES,0.31,12407.0,95.61,-71.1289559079,42.3780587769
12379,219-29,Longfellow Pk,5,A-2,305,15,9,5019,10684,7935,West Cambridge,2.5,Rectory, Parsonage,0.74,10684.0,53.02,-71.1273182595,42.375862087
1371,219-37,Willard St,40,A-2,305,None,None,1706,52296,2977,West Cambridge,2.0,TENNIS-CLUB,0.06,52296.0,96.74,-71.1283160323,42.374711414
9991,219-8,Longfellow Pk,2,A-2,305,None,None,11494,21858,22488,West Cambridge,2.0,Church,1.03,21858.0,47.42,-71.1264081879,42.3761170601
6030,220-107,Willard St,3,A-2,298,15,9,5463,10999,5463,West Cambridge,0.0,CONDO-BLDG,0.5,5499.5,50.33,-71.1278995603,42.3766120063
10555,220-122,Sparks St,32,A-2,291,15,9,1129,3023,3387,West Cambridge,3.0,THREE-FM-RES,1.12,1007.67,62.65,-71.1302663275,42.3762738753
2681,220-123,Sparks St,36,A-2,291,16,6,978,3449,3092,West Cambridge,0.0,CONDO-BLDG,0.9,1149.67,71.64,-71.1302420988,42.376347835
3930,220-54,Mercer Cir,1,A-2,291,17,7,6400,10130,6400,West Cambridge,0.0,CONDO-BLDG,0.63,5065.0,36.82,-71.1293084886,42.3773031615
11315,220-59,Brown St,15,A-2,291,9,3,1223,4399,2469,West Cambridge,2.5,TWO-FAM-RES,0.56,2199.5,72.2,-71.128898681,42.3763572988
6630,220-60,Brown St,17,A-2,291,14,8,1196,4399,4158,West Cambridge,3.5,THREE-FM-RES,0.95,1466.33,72.81,-71.1289501008,42.3762186265
8592,222-28,Hubbard Park Rd,2,A-1,294,13,6,1577,11638,4118,West Cambridge,2.75,TWO-FAM-RES,0.35,5819.0,86.45,-71.1306111736,42.3765842818
12207,223-1053,Sparks St,67,A-1,260,None,None,1721,4692,6770,West Cambridge,3.0,4-8-UNIT-APT,1.44,1173.0,63.32,-71.1311938361,42.3791417267
12065,223-44,Brattle St,145,A-1,268,12,4,2923,26636,8276,West Cambridge,3.0,Rectory, Parsonage,0.31,26636.0,89.03,-71.13106921,42.3779776644
3357,223-45,Brattle St,145,A-1,268,None,None,1306,61844,15946,West Cambridge,2.0,Church,0.26,61844.0,97.89,-71.130677554,42.3780642862
469,223-54,Sparks St,65,A-1,260,None,None,1480,3129,5960,West Cambridge,3.0,4-8-UNIT-APT,1.9,782.25,52.7,-71.1311789373,42.3791229413
1184,223-55,Sparks St,63,A-1,260,18,7,1476,3124,4661,West Cambridge,0.0,CONDO-BLDG,1.49,781.0,52.75,-71.1311027293,42.3790203528
12761,223-56,Sparks St,61,A-1,260,25,8,1194,3959,5417,West Cambridge,0.0,CONDO-BLDG,1.37,791.8,69.84,-71.1310889981,42.3789968708
11724,224-16,Craigie St,15,A-2,249,None,None,3630,46335,5079,West Cambridge,3.0,Private Secondary Education,0.11,46335.0,92.17,-71.1277911912,42.3789399371
1734,224-3,Parker St,40,A-2,249,None,None,1255,5503,4575,West Cambridge,2.75,4-8-UNIT-APT,0.83,1375.75,77.19,-71.1285499317,42.3796716258
871,224-32,Buckingham St,10,A-2,249,None,None,11939,22000,24910,West Cambridge,2.0,Private College, University,1.13,22000.0,45.73,-71.1295373805,42.37924029
3819,224-36,Buckingham Pl,6,A-2,249,None,None,1205,4469,2282,West Cambridge,2.0,Private College, University,0.51,4469.0,73.04,-71.1287975615,42.379159849
12284,224-4,Parker St,38,A-2,249,38,16,2600,5500,7048,West Cambridge,0.0,CONDO-BLDG,1.28,458.33,52.73,-71.1284420068,42.3797542033
1897,224-5,Parker St,30,A-2,249,14,5,1143,5500,2844,West Cambridge,2.5,THREE-FM-RES,0.52,1833.33,79.22,-71.1282602988,42.3798099713
580,224-7,Parker St,12,A-2,249,23,12,3904,9000,4982,West Cambridge,0.0,CONDO-BLDG,0.55,2250.0,56.62,-71.1276193613,42.3798468546
7982,224-8,Concord Ave,36,A-2,249,None,None,1474,50936,5931,West Cambridge,3.0,Private College, University,0.12,50936.0,97.11,-71.1270166047,42.3796668081
10105,225-11,Parker St,21,A-2,239,9,4,937,3079,2549,West Cambridge,3.0,TWO-FAM-RES,0.83,1539.5,69.57,-71.1281506557,42.3800376136
1963,225-16,Healey St,21,A-2,239,None,None,954,5223,954,West Cambridge,1.0,PUB UTIL REG,0.18,5223.0,81.73,-71.1289665472,42.3803349779
143,225-18,Healey St,31,A-2,239,13,6,2493,5178,3915,West Cambridge,0.0,CONDO-BLDG,0.76,2589.0,51.85,-71.1293655995,42.3802992076
2531,225-31,Parker St,39,A-2,248,9,4,682,2338,1606,West Cambridge,2.5,TWO-FAM-RES,0.69,1169.0,70.83,-71.1286975021,42.3798439464
1077,225-32,Parker St,33,A-2,248,13,6,844,2673,3048,West Cambridge,0.0,CONDO-BLDG,1.14,1336.5,68.42,-71.1286092111,42.3798799599
10379,225-34,Healey St,20,A-2,248,21,12,3633,6686,3633,West Cambridge,0.0,CONDO-BLDG,0.54,2228.67,45.66,-71.1289969146,42.3800913045
